"","Type.results","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","Common.Name","Window.size","Window.time","Training.dates","p.adj"
"470","Cumulative",24,8.97779057314728,-24.9493826260299,43.1111935908767,16.9658413369434,15.0222094268527,-19.1111935908767,48.9493826260299,16.9658413369434,2.28232087194061,-22.6925380384089,17.0267346337531,105.902618420471,0.05,0.193158953722334,"Purple Martin",28,"after_eclipse","6,7,9",0.346353985984875
"471","Cumulative",20,9.68979121841538,-20.1883767581799,38.2264200280549,14.7423924728287,10.3102087815846,-18.2264200280549,40.1883767581799,14.7423924728287,1.61479028056403,-15.9057283377624,18.2320321630027,123.880862445371,0.05,0.246,"Purple Martin",24,"after_eclipse","6,7,9",0.328
"472","Cumulative",15,9.23662208646984,-11.445995309694,31.0969126738628,10.8945367572748,5.76337791353016,-16.0969126738628,26.445995309694,10.8945367572748,-0.126082126374795,-18.1345802254134,12.615807876056,27.3195487131209,0.05,0.29263370332997,"Purple Martin",20,"after_eclipse","6,7,9",0.36230839459901
"473","Cumulative",8,9.929216443022,-7.22061012742477,26.9840090914174,8.80705606463967,-1.929216443022,-18.9840090914174,15.2206101274248,8.80705606463967,-0.0563859812573809,-6.34487462263757,5.34491485261043,19.5120624046217,0.05,0.422,"Purple Martin",16,"after_eclipse","6,7,9",0.46205908609629
"474","Cumulative",5,9.58509427045955,-3.20258811264719,23.4642332246725,6.84868121282187,-4.58509427045955,-18.4642332246725,8.20258811264719,6.84868121282187,-0.115176115753865,-6.5892995256527,4.63230237214703,8.25340036353274,0.05,0.268839103869654,"Purple Martin",12,"after_eclipse","6,7,9",0.381872781872782
"475","Cumulative",5,7.70341051516592,-2.25774774655093,16.7160026481717,4.84792122386387,-2.70341051516592,-11.7160026481717,7.25774774655093,4.84792122386387,0.448420846989525,-3.84473617997571,7.77781018323186,10.0472278433427,0.05,0.283551967709384,"Purple Martin",8,"after_eclipse","6,7,9",0.421277209168228
"476","Cumulative",2,3.24748984880484,-3.17198989092686,9.34174160312573,3.23095796885424,-1.24748984880484,-7.34174160312574,5.17198989092686,3.23095796885424,-1.99389131011763,-7.72444161434106,4.35117076737061,31.0455329865011,0.05,0.353353353353353,"Purple Martin",4,"after_eclipse","6,7,9",0.417599417599418
"477","Cumulative",28,50.80167559177,14.2793007098196,86.445717290305,18.8863315166742,-22.80167559177,-58.445717290305,13.7206992901804,18.8863315166742,-0.355100294139233,-0.686852042761824,0.756255372729434,2.27916441728829,0.05,0.111,"Purple Finch",28,"after_eclipse","6,7,9",0.262933787523951
"478","Cumulative",21,52.1487577290321,19.7262698791842,86.207325190499,16.5469075905769,-31.1487577290321,-65.207325190499,1.27373012081579,16.5469075905769,-0.556314615388042,-0.762671484808696,-0.000463196718976699,0.355008833716812,0.05,0.0303336703741153,"Purple Finch",24,"after_eclipse","6,7,9",0.0941176470588235
"479","Cumulative",11,42.1786382949408,15.2624466055874,69.7210180458008,14.2029490747954,-31.1786382949408,-58.7210180458008,-4.26244660558743,14.2029490747954,-0.698065267950694,-0.844084721621348,-0.292946820337146,0.330238736465593,0.05,0.016,"Purple Finch",20,"after_eclipse","6,7,9",0.064
"480","Cumulative",10,29.0916398360439,6.80838586469895,50.0153684075281,11.2863606516779,-19.0916398360439,-40.0153684075281,3.19161413530105,11.2863606516779,-0.579099749284846,-0.801249793872512,0.248765907298215,0.728725047567902,0.05,0.05,"Purple Finch",16,"after_eclipse","6,7,9",0.136842105263158
"481","Cumulative",5,22.4769229901848,4.75303373855098,39.8423117519647,8.86821020470633,-17.4769229901848,-34.8423117519647,0.246966261449018,8.86821020470633,-0.710518406361637,-0.876133560896195,-0.112662974376,0.858492740270509,0.05,0.0271356783919598,"Purple Finch",12,"after_eclipse","6,7,9",0.0742660671779952
"482","Cumulative",0,14.5486097804152,3.55666052555331,25.0020124970778,5.70527301293405,-14.5486097804152,-25.0020124970778,-3.55666052555331,5.70527301293405,-1,-1,-1,0,0.05,0.00480769230769231,"Purple Finch",8,"after_eclipse","6,7,9",0.0178571428571429
"483","Cumulative",0,3.93414814235333,-3.61841929572543,11.2815485015087,3.86584084576336,-3.93414814235333,-11.2815485015087,3.61841929572542,3.86584084576336,-1,-1,-1,0,0.05,0.159,"Purple Finch",4,"after_eclipse","6,7,9",0.295285714285714
"484","Cumulative",1,10.4622944765353,-11.0846830637119,31.7123430843971,10.791510732435,-9.46229447653526,-30.7123430843971,12.0846830637119,10.791510732435,-1.02053242229007,-1.701517814475,-0.281614801892383,3.76396611264718,0.05,0.165631469979296,"Pine Siskin",28,"after_eclipse","6,7,9",0.307601301390121
"485","Cumulative",1,13.8599177978632,-4.61422036441237,31.6548845632991,9.19487597781879,-12.8599177978632,-30.6548845632991,5.61422036441235,9.19487597781879,-0.891886524914949,-1.26800793953136,-0.292339438870314,0.567436622602541,0.05,0.068,"Pine Siskin",24,"after_eclipse","6,7,9",0.14144
"486","Cumulative",0,14.8946573020127,-1.20998122205799,30.6498396302567,8.05664306911294,-14.8946573020127,-30.6498396302567,1.20998122205799,8.05664306911294,-1,-1,-1,0,0.05,0.035,"Pine Siskin",20,"after_eclipse","6,7,9",0.101111111111111
"487","Cumulative",0,12.2553887063381,-0.562741830595898,25.8295641075111,6.56771695830506,-12.2553887063381,-25.8295641075112,0.562741830595895,6.56771695830506,-1,-1,-1,0,0.05,0.03,"Pine Siskin",16,"after_eclipse","6,7,9",0.0975
"488","Cumulative",0,6.90373171158097,-3.59778331384179,16.027229873206,5.01423693578742,-6.90373171158097,-16.027229873206,3.59778331384179,5.01423693578742,-1,-1,-1,0,0.05,0.0785123966942149,"Pine Siskin",12,"after_eclipse","6,7,9",0.163305785123967
"489","Cumulative",0,3.21331050950833,-4.12399878331736,10.8382834135199,3.7396993931113,-3.21331050950833,-10.8382834135199,4.12399878331735,3.7396993931113,-1,-1,-1,0,0.05,0.176829268292683,"Pine Siskin",8,"after_eclipse","6,7,9",0.365853658536585
"490","Cumulative",0,2.02250705113179,-2.90574378223778,7.60156058480764,2.59342995017872,-2.02250705113179,-7.60156058480764,2.90574378223776,2.59342995017872,-1,-1,-1,0,0.05,0.204204204204204,"Pine Siskin",4,"after_eclipse","6,7,9",0.319541763986208
"491","Cumulative",40,19.8785635953287,-2.84986175496473,41.7932902555973,11.1767408285709,20.1214364046713,-1.7932902555973,42.8498617549647,11.1767408285709,-0.97831209471102,-9.21680987290002,12.446806095684,86.8554097607393,0.05,0.0422535211267606,"Pileated Woodpecker",28,"after_eclipse","6,7,9",0.145473041709054
"492","Cumulative",34,11.428982559629,-7.27625284009285,30.283676366701,9.55332814567894,22.571017440371,3.71632363329904,41.2762528400929,9.55332814567894,-0.00716696981443326,-19.168948316194,24.5734649357681,70.6298955988964,0.05,0.0122199592668024,"Pileated Woodpecker",24,"after_eclipse","6,7,9",0.0488798370672098
"493","Cumulative",27,12.3448676348242,-5.28886634175719,29.6538742491292,8.87284367953387,14.6551323651758,-2.65387424912919,32.2888663417572,8.87284367953387,1.91200677785517,-14.404645608908,19.5793829125357,22.7026691862684,0.05,0.0477642276422764,"Pileated Woodpecker",20,"after_eclipse","6,7,9",0.119242779078845
"494","Cumulative",19,15.8342203049683,1.82252952402665,29.9617916634946,7.39586771748579,3.16577969503168,-10.9617916634946,17.1774704759733,7.39586771748579,1.68261119242695,-0.423567853285972,5.8605545520517,33.4152726794322,0.05,0.327967806841046,"Pileated Woodpecker",16,"after_eclipse","6,7,9",0.416687534431813
