"","Species","comparison","p.val","p.val.adj","statistic"
"58","house finch","8th.0-4vs8th.4-8",0.676018195305279,0.811221834366335,-0.417902786263386
"59","house finch","8th.28-32vs8th.4-8",0.411423744302186,0.617135616453279,0.821390726113854
"60","european starling","7th.0-4vs8th.0-4",0.486112850110672,0.583335420132806,0.696504643772311
"61","european starling","7th.0-4vs8th.28-32",0.101128661789893,0.247097121222244,-1.63940634166544
"62","european starling","7th.0-4vs8th.4-8",0.930458714432034,0.930458714432034,-0.0872677167046258
"63","european starling","8th.0-4vs8th.28-32",0.00796089397282551,0.0477653638369531,-2.65372388436784
"64","european starling","8th.0-4vs8th.4-8",0.486112850110672,0.583335420132806,-0.696504643772311
"65","european starling","8th.28-32vs8th.4-8",0.123548560611122,0.247097121222244,1.5400483815645
"66","eastern bluebird","7th.0-4vs8th.0-4",1,1,0
"67","eastern bluebird","7th.0-4vs8th.28-32",0.754861037667441,1,0.312236180314254
"68","eastern bluebird","7th.0-4vs8th.4-8",1,1,0
"69","eastern bluebird","8th.0-4vs8th.28-32",1,1,0
"70","eastern bluebird","8th.0-4vs8th.4-8",0.676018195305279,1,0.417902786263386
"71","eastern bluebird","8th.28-32vs8th.4-8",1,1,0
"72","downy woodpecker","7th.0-4vs8th.0-4",0.488482044335952,0.670830749600977,-0.692725163519778
"73","downy woodpecker","7th.0-4vs8th.28-32",0.211685293018942,0.635055879056825,-1.24894472125702
"74","downy woodpecker","7th.0-4vs8th.4-8",0.211685293018942,0.635055879056825,-1.24894472125702
"75","downy woodpecker","8th.0-4vs8th.28-32",0.435948772099317,0.670830749600977,-0.77905252912841
"76","downy woodpecker","8th.0-4vs8th.4-8",0.559025624667481,0.670830749600977,-0.584289396846308
"77","downy woodpecker","8th.28-32vs8th.4-8",1,1,0
"78","common yellowthroat","7th.0-4vs8th.0-4",0.488482044335952,0.61060255541994,-0.692725163519778
"79","common yellowthroat","7th.0-4vs8th.4-8",0.488482044335952,0.61060255541994,-0.692725163519778
"80","common yellowthroat","8th.0-4vs8th.28-32",0.488482044335952,0.61060255541994,0.692725163519778
"81","common yellowthroat","8th.0-4vs8th.4-8",0.754861037667441,0.754861037667441,0.312236180314254
"82","common yellowthroat","8th.28-32vs8th.4-8",0.488482044335952,0.61060255541994,-0.692725163519778
"83","carolina wren","7th.0-4vs8th.0-4",0.518668798122201,0.94962006350036,0.645398773351847
"84","carolina wren","7th.0-4vs8th.28-32",0.94962006350036,0.94962006350036,-0.063183902008758
"85","carolina wren","7th.0-4vs8th.4-8",0.793473210314678,0.94962006350036,0.261803150113878
"86","carolina wren","8th.0-4vs8th.28-32",0.271544903193513,0.94962006350036,-1.09951176944906
"87","carolina wren","8th.0-4vs8th.4-8",0.45147080488101,0.94962006350036,-0.752965235577155
"88","carolina wren","8th.28-32vs8th.4-8",0.704611072641719,0.94962006350036,0.379103412052548
"89","carolina chickadee","7th.0-4vs8th.0-4",1,1,0
"90","carolina chickadee","7th.0-4vs8th.28-32",0.435948772099317,0.582106273019717,-0.77905252912841
"91","carolina chickadee","7th.0-4vs8th.4-8",0.0852393206578392,0.255717961973518,-1.72106339560493
"92","carolina chickadee","8th.0-4vs8th.28-32",0.435948772099317,0.582106273019717,-0.77905252912841
"93","carolina chickadee","8th.0-4vs8th.4-8",0.0852393206578392,0.255717961973518,-1.72106339560493
"94","carolina chickadee","8th.28-32vs8th.4-8",0.485088560849764,0.582106273019717,-0.698141733637007
"95","blue jay","7th.0-4vs8th.0-4",0.0258262258005812,0.0516524516011625,-2.22881486007139
